"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Luis Guillorme","NYM","23","99","84","21","4","0","1","10","7","12","17","1","1","1","",".248",".344",".340",".683",".306","","-0.2","-0.2","","0.3","16451"
"Kelvin Gutierrez","BAL","67","289","263","62","10","2","6","28","28","20","73","3","3","1","",".237",".296",".359",".654",".286","","0.5","-0.3","","0.3","17468"
"Robinson Chirinos","BAL","43","168","145","30","6","1","5","18","17","17","52","4","1","0","",".205",".303",".366",".669",".294","","-1.3","-0.6","","0.3","3142"
"Mitch Moreland","","57","245","219","52","10","1","11","30","34","21","57","2","1","0","",".239",".309",".445",".754",".323","","-0.1","-0.9","","0.3","3086"
"Bryan Lavastida","CLE","23","91","81","19","4","0","2","12","9","8","20","1","2","1","",".240",".312",".373",".685",".300","","-0.8","0.0","","0.3","24765"
"Shed Long Jr.","BAL","26","112","100","23","5","1","3","12","12","10","28","1","2","1","",".235",".306",".400",".705",".306","","-0.2","0.0","","0.3","16542"
"Kevin Pillar","LAD","32","138","128","31","6","1","5","16","18","6","27","2","2","1","",".246",".290",".425",".715",".305","","0.2","0.2","","0.3","12434"
"Josh VanMeter","PIT","29","125","108","24","6","1","3","14","14","15","31","1","2","1","",".222",".319",".390",".709",".310","","-0.6","-0.1","","0.3","15170"
"Michael Chavis","PIT","53","230","211","52","9","2","10","27","30","13","65","3","2","1","",".247",".301",".442",".743",".318","","-0.5","-0.4","","0.3","17321"
"Travis Swaggerty","PIT","27","118","104","24","5","0","3","13","12","12","28","1","2","1","",".234",".315",".377",".693",".304","","0.0","0.0","","0.3","sa3007512"
"Yonny Hernandez","ARI","26","112","94","22","4","1","1","12","7","14","21","2","7","3","",".237",".348",".307",".654",".300","","0.6","0.2","","0.3","19432"
"Jed Lowrie","OAK","79","339","303","72","17","0","9","36","41","31","72","2","1","0","",".239",".313",".384",".697",".304","","-0.7","-0.9","","0.3","4418"
"Garrett Stubbs","PHI","24","95","83","18","4","0","2","11","8","10","20","1","2","0","",".220",".306",".335",".641",".286","","0.8","0.1","","0.3","18067"
"Nick Gordon","MIN","41","177","163","40","8","1","3","19","18","11","42","2","7","2","",".249",".302",".376",".678",".295","","-0.5","0.5","","0.3","16337"
"Orlando Arcia","ATL","34","149","135","34","6","0","4","16","17","11","27","1","2","1","",".250",".309",".399",".708",".306","","0.9","0.0","","0.3","13185"
"Donovan Solano","CIN","54","235","214","57","13","0","5","25","25","15","46","3","1","0","",".267",".322",".397",".719",".312","","-1.1","-0.4","","0.3","8623"
"Mike Brosseau","MIL","42","183","163","37","8","1","6","21","21","15","50","3","2","1","",".228",".303",".396",".700",".304","","0.1","-0.2","","0.3","19683"
"David Bote","CHC","24","105","92","22","4","1","3","12","12","10","25","1","1","0","",".236",".319",".407",".726",".315","","-0.1","0.0","","0.3","14593"
"Wilson Ramos","","24","96","87","23","4","0","3","11","12","7","17","1","0","0","",".263",".318",".431",".748",".321","","-0.7","-0.6","","0.3","1433"
"Harold Ramirez","TBR","39","170","158","43","10","1","4","19","20","8","31","2","2","1","",".272",".312",".419",".730",".313","","-0.4","-0.1","","0.3","14387"
"Payton Henry","MIA","37","145","130","27","5","0","3","14","13","10","46","3","0","0","",".209",".279",".333",".612",".270","","0.3","-0.2","","0.3","22164"
"Sam Hilliard","COL","84","361","324","73","14","3","16","45","45","31","119","2","9","3","",".225",".296",".430",".726",".309","","0.7","0.5","","0.3","17954"
"Lars Nootbaar","STL","60","260","229","56","7","1","8","31","28","26","55","1","3","2","",".243",".322",".394",".716",".310","","0.5","-0.4","","0.3","21454"
"Bobby Bradley","CLE","61","264","236","49","10","0","14","31","36","22","95","3","0","0","",".209",".285",".432",".717",".306","","1.2","-0.4","","0.3","17278"
"Jose Siri","HOU","46","197","180","41","8","1","7","23","23","12","69","2","8","2","",".226",".280",".392",".673",".290","","-1.2","0.4","","0.2","17452"
"Maikel Franco","WSN","62","268","247","60","13","0","9","27","35","17","44","1","0","0","",".243",".292",".413",".706",".300","","-1.4","-0.3","","0.2","12179"
"Edward Olivares","KCR","25","106","97","25","4","1","3","12","12","7","21","2","3","1","",".255",".313",".415",".728",".314","","-0.3","0.0","","0.2","19698"
"Jack Mayfield","LAA","29","124","114","26","6","1","4","14","15","7","27","1","2","0","",".231",".284",".406",".690",".296","","-0.3","0.0","","0.2","15402"
"Niko Goodrum","HOU","35","151","135","29","6","1","4","17","16","14","49","1","5","1","",".213",".288",".361",".650",".285","","-0.4","0.3","","0.2","12092"
"Charlie Culberson","TEX","34","145","133","33","7","1","3","15","15","9","36","1","3","1","",".245",".297",".386",".683",".295","","-0.5","0.1","","0.2","3298"
"Jackie Bradley Jr.","BOS","99","427","379","82","22","2","10","47","43","35","116","8","7","3","",".217",".295",".364",".659",".288","","3.5","0.4","","0.2","12984"
"Hoy Park","PIT","18","79","67","16","3","1","2","10","7","10","18","1","2","1","",".234",".340",".366",".707",".312","","-0.2","0.0","","0.2","18027"
"Ehire Adrianza","WSN","51","222","197","48","10","1","4","25","23","18","44","3","2","1","",".245",".316",".377",".693",".304","","-1.0","-0.1","","0.2","8418"
"Nick Allen","OAK","32","137","124","29","6","1","2","13","12","10","29","1","3","1","",".233",".295",".338",".633",".279","","0.0","0.0","","0.2","sa3004723"
"Eric Haase","DET","69","290","264","57","10","1","12","34","38","21","93","2","1","0","",".215",".277",".402",".679",".292","","0.1","-0.1","","0.2","14111"
"Juan Yepez","STL","18","80","71","17","4","0","4","10","11","7","19","1","1","0","",".247",".323",".459",".782",".335","","0.0","-0.1","","0.2","sa877505"
"Luis Rengifo","LAA","20","85","75","18","3","0","2","10","9","7","17","1","2","1","",".238",".311",".379",".690",".301","","0.0","0.1","","0.2","19858"
"Luis Campusano","SDP","10","41","37","9","2","0","1","5","5","3","9","1","0","0","",".243",".314",".410",".724",".314","","0.0","-0.1","","0.2","22217"
"Mason Martin","PIT","29","125","111","26","6","1","6","16","17","10","42","2","1","0","",".230",".300",".460",".761",".323","","0.0","-0.1","","0.2","sa3004885"
"Willi Castro","DET","21","93","85","21","4","1","2","10","10","5","21","1","2","1","",".246",".300",".390",".690",".298","","-0.4","0.0","","0.2","17338"
"Michael Stefanic","LAA","18","78","70","18","3","0","1","9","8","6","13","1","1","0","",".261",".330",".373",".703",".309","","0.0","-0.1","","0.2","sa3008479"
"Clint Frazier","CHC","87","374","327","75","19","1","13","44","41","40","103","5","4","2","",".229",".318",".412",".731",".318","","-1.4","-0.6","","0.2","15983"
"Geraldo Perdomo","ARI","29","126","107","24","4","1","1","13","9","14","29","2","3","2","",".220",".323",".320",".643",".289","","0.4","-0.2","","0.2","22799"
"Colton Welker","COL","30","131","117","30","6","1","4","16","16","11","29","1","1","0","",".259",".329",".431",".760",".328","","-0.1","-0.1","","0.2","19961"
"Riley Adams","WSN","59","234","201","43","9","1","7","25","23","24","78","6","1","0","",".212",".313",".367",".680",".301","","-0.7","-0.1","","0.2","19864"
"Richie Palacios","CLE","9","40","34","9","2","0","1","5","4","4","8","0","1","0","",".257",".346",".391",".737",".324","","0.0","0.0","","0.2","sa3006908"
"Billy McKinney","OAK","63","274","241","51","12","2","9","30","28","28","71","2","2","1","",".212",".296",".391",".687",".296","","0.8","-0.4","","0.2","15654"
"Nick Fortes","MIA","12","48","43","11","2","0","1","5","5","4","9","1","0","0","",".248",".319",".402",".721",".314","","-0.2","0.0","","0.2","21538"
"Jose Herrera","ARI","18","73","63","13","3","0","1","7","6","8","18","0","1","0","",".210",".303",".324",".628",".280","","0.6","-0.1","","0.2","17040"
"Cole Tucker","PIT","61","263","233","52","10","3","4","27","23","25","64","2","6","2","",".223",".300",".349",".649",".286","","0.3","0.1","","0.2","17326"
"Danny Mendick","CHW","17","73","64","15","3","0","2","8","7","7","16","1","1","1","",".230",".308",".354",".662",".292","","0.3","-0.1","","0.2","18889"
"Tres Barrera","WSN","11","42","37","8","2","0","1","4","4","4","9","1","0","0","",".229",".313",".371",".684",".299","","-0.2","0.0","","0.2","19977"
"Aramis Garcia","CIN","36","143","131","28","6","0","5","15","16","9","46","1","0","0","",".214",".268",".376",".644",".278","","0.4","-0.3","","0.2","16925"
"Jarren Duran","BOS","32","138","123","30","6","1","3","16","14","11","38","2","5","2","",".239",".307",".387",".694",".302","","0.3","0.1","","0.2","24617"
"Bradley Zimmer","TOR","29","125","109","23","4","0","3","15","12","11","44","4","4","1","",".213",".307",".339",".646",".289","","0.6","0.3","","0.1","16221"
"Matt Beaty","SDP","36","156","139","34","7","1","4","19","19","11","29","4","1","1","",".248",".321",".388",".709",".310","","-0.9","-0.1","","0.1","17710"
"Josh Jung","TEX","12","53","47","12","3","0","2","6","7","4","13","1","0","0","",".257",".324",".438",".762",".328","","0.0","0.0","","0.1","sa3011468"
"Nolan Jones","CLE","12","53","45","10","2","0","2","6","6","7","17","1","1","0","",".219",".329",".385",".714",".315","","0.0","0.0","","0.1","sa917941"
"Alex Dickerson","ATL","63","272","244","60","11","1","11","33","35","21","63","4","1","0","",".245",".314",".435",".748",".320","","-0.1","-0.3","","0.1","12649"
"Aristides Aquino","CIN","97","418","369","78","14","1","22","51","61","40","137","4","5","2","",".212",".295",".438",".733",".312","","-0.1","-0.1","","0.1","15482"
"Tyler Nevin","BAL","27","118","104","24","5","0","4","13","13","11","27","1","1","0","",".231",".312",".391",".703",".307","","-1.4","-0.1","","0.1","17893"
"Asdrúbal Cabrera","CIN","36","154","137","32","7","0","4","17","17","14","35","1","1","0","",".233",".308",".384",".692",".301","","-0.3","-0.8","","0.1","4962"
"Joe Panik","","29","126","113","28","5","0","2","13","12","10","18","1","1","0","",".247",".315",".351",".666",".293","","-0.6","-0.2","","0.1","11936"
"DJ Stewart","BAL","20","85","73","16","3","0","3","10","11","10","22","1","1","0","",".220",".324",".412",".736",".320","","-0.3","-0.1","","0.1","17766"
"Anthony Bemboom","BAL","15","60","53","10","2","0","2","6","5","6","16","1","0","0","",".198",".281",".326",".607",".270","","0.3","-0.1","","0.1","13854"
"Harold Castro","DET","41","179","168","45","7","1","2","17","17","7","39","1","1","1","",".267",".299",".354",".653",".284","","-0.9","-0.2","","0.1","14691"
"Tim Locastro","NYY","14","59","52","12","3","0","1","7","5","4","12","3","2","1","",".231",".319",".353",".672",".299","","-0.2","0.2","","0.1","15124"
"Marwin Gonzalez","NYY","21","92","83","19","4","0","2","10","10","7","22","1","1","0","",".231",".299",".366",".666",".291","","-0.3","-0.2","","0.1","5497"
"Jake Marisnick","PIT","23","99","89","20","5","1","3","11","11","6","29","2","2","1","",".229",".287",".390",".678",".293","","-0.2","0.0","","0.1","11339"
"Corey Dickerson","STL","63","273","252","66","13","2","7","30","29","17","51","2","3","2","",".261",".309",".408",".717",".308","","0.0","-0.6","","0.1","10762"
"Donovan Walton","SEA","6","26","23","6","1","0","1","3","3","3","5","0","0","0","",".245",".332",".378",".710",".312","","-0.1","0.0","","0.1","19314"
"Zack Collins","TOR","36","151","128","27","7","0","5","18","18","21","48","1","1","0","",".211",".323",".378",".701",".309","","-0.9","-0.1","","0.1","19181"
"Eli White","TEX","46","198","177","37","7","1","4","21","17","16","59","3","5","2","",".212",".289",".341",".630",".278","","0.4","-0.1","","0.1","19346"
"Adam Eaton","","24","105","92","23","4","1","2","12","11","9","22","2","1","0","",".244",".323",".381",".704",".309","","-0.6","0.0","","0.1","11205"
"Lewin Díaz","MIA","17","73","66","15","3","0","3","9","10","5","17","1","0","0","",".231",".290",".444",".733",".311","","0.1","-0.1","","0.1","18365"
"William Contreras","ATL","8","30","26","7","1","0","1","3","4","2","8","0","0","0","",".246",".317",".423",".740",".319","","-0.2","0.0","","0.1","20503"
"Kyle Garlick","MIN","15","66","60","14","3","0","3","8","9","4","20","1","1","0","",".227",".280",".446",".726",".307","","-0.2","0.0","","0.1","18063"
"Jake Rogers","DET","8","30","26","5","1","0","1","3","3","3","10","0","0","0","",".200",".289",".384",".672",".293","","0.2","0.0","","0.1","19452"
"Alejo Lopez","CIN","9","39","35","9","2","0","0","5","3","3","5","1","1","0","",".269",".336",".361",".698",".308","","0.1","-0.1","","0.1","21127"
"Alan Trejo","COL","30","131","121","29","6","1","4","15","15","7","32","1","1","1","",".240",".286",".403",".689",".295","","0.7","-0.3","","0.1","20056"
"Jake Lamb","LAD","33","144","125","26","5","0","5","17","17","15","41","2","1","0","",".210",".304",".384",".688",".301","","-0.5","0.0","","0.1","13329"
"Brendan Donovan","STL","5","20","17","4","1","0","0","2","2","2","4","0","0","0","",".253",".335",".379",".714",".315","","0.0","0.0","","0.1","sa3006675"
"Ernie Clement","CLE","17","73","66","16","4","0","1","7","6","4","11","1","1","1","",".248",".302",".344",".646",".284","","0.3","-0.1","","0.1","20352"
"Tyler Heineman","TOR","8","30","27","6","1","0","1","3","3","2","6","0","0","0","",".227",".299",".349",".649",".286","","0.1","0.0","","0.1","13897"
"Rylan Bannon","BAL","8","33","28","6","1","0","1","4","3","4","8","0","0","0","",".213",".309",".373",".683",".301","","0.0","0.0","","0.1","sa3004162"
"Miguel Andújar","NYY","8","33","30","8","2","0","1","4","5","2","6","0","0","0","",".262",".308",".462",".770",".327","","-0.2","0.0","","0.1","15878"
"Zack Short","DET","6","26","22","4","1","0","1","3","3","3","8","0","0","0","",".200",".312",".355",".667",".295","","0.1","0.0","","0.1","19562"
"Jahmai Jones","BAL","9","39","35","8","2","0","1","4","4","4","10","0","1","0","",".223",".308",".359",".666",".294","","0.0","0.0","","0.1","18872"
"Korey Lee","HOU","6","24","22","5","1","0","1","3","2","2","6","0","0","0","",".226",".287",".361",".648",".282","","0.0","0.0","","0.1","sa3010034"
"Brent Rooker","SDP","15","65","56","12","2","0","3","8","8","7","23","1","0","0","",".209",".304",".411",".715",".310","","-0.5","0.0","","0.1","19627"
"Matt Thaiss","LAA","8","31","27","6","1","0","1","3","3","4","8","0","0","0","",".211",".306",".363",".670",".295","","0.1","0.0","","0.1","19318"
"Connor Wong","BOS","5","18","16","4","1","0","1","2","2","1","5","0","0","0","",".237",".290",".409",".698",".300","","0.0","0.0","","0.1","19896"
"Estevan Florial","NYY","6","26","23","5","1","0","1","3","3","3","8","0","1","0","",".216",".299",".385",".684",".298","","0.0","0.0","","0.1","19151"
"Christian Bethancourt","OAK","11","43","40","9","2","0","1","4","5","3","10","0","0","0","",".227",".281",".387",".669",".289","","0.0","0.0","","0.1","10028"
"Jonathan Aranda","TBR","6","26","23","6","1","0","1","3","3","2","6","0","0","0","",".250",".328",".402",".730",".318","","0.0","0.0","","0.1","sa919293"
"Khris Davis","","26","112","100","23","4","1","6","14","16","9","31","1","0","0","",".228",".298",".447",".746",".318","","0.0","-0.3","","0.1","9112"
"Ali Sánchez","STL","8","30","28","7","1","0","0","3","3","2","7","0","0","0","",".236",".291",".343",".633",".278","","0.0","0.0","","0.1","18551"
"Jonah Bride","OAK","6","26","22","5","1","0","1","3","3","3","6","0","0","0","",".237",".336",".390",".726",".320","","0.0","0.0","","0.1","sa3007516"
"Brandon Drury","CIN","14","59","54","13","3","0","2","6","7","4","14","0","0","0","",".237",".293",".412",".704",".303","","-0.1","-0.1","","0.1","11615"
"Ryan Kreidler","DET","5","20","18","4","1","0","1","2","2","2","6","0","0","0","",".233",".306",".377",".683",".298","","0.0","0.0","","0.1","sa3010587"
"René Pinto","TBR","5","18","16","4","1","0","1","2","2","1","6","0","0","0","",".220",".283",".368",".651",".284","","0.0","0.0","","0.1","sa826668"
"Kody Clemens","DET","9","40","36","8","1","0","1","4","4","3","10","0","0","0","",".222",".287",".381",".668",".289","","0.0","0.0","","0.1","sa3008002"
"Daz Cameron","DET","20","86","76","17","4","1","2","9","8","7","24","1","3","1","",".222",".299",".375",".673",".294","","-0.4","0.1","","0.1","18353"
"Skye Bolt","OAK","14","59","51","11","2","0","1","6","5","6","17","1","1","0","",".208",".295",".345",".640",".283","","-0.1","0.0","","0.1","17723"
"Rodolfo Castro","PIT","5","20","18","4","1","0","1","2","3","1","5","0","0","0","",".234",".297",".428",".725",".310","","0.0","0.0","","0.1","21987"
"Yonathan Daza","COL","38","164","151","42","8","1","2","17","15","9","29","1","2","1","",".277",".321",".384",".705",".307","","0.9","-0.2","","0.1","15794"
"Derek Hill","DET","12","53","48","11","2","1","1","6","5","4","15","1","1","0","",".230",".293",".365",".659",".287","","-0.2","0.1","","0.1","16947"
"Jonathan Araúz","BOS","6","26","23","5","1","0","1","3","3","2","5","0","0","0","",".233",".302",".370",".672",".294","","0.1","0.0","","0.1","20275"
"Patrick Mazeika","NYM","3","12","11","2","1","0","0","1","1","1","2","0","0","0","",".227",".304",".374",".678",".296","","0.0","0.0","","0.0","18142"
"Lucius Fox","WSN","21","91","80","17","4","1","1","10","8","9","25","1","4","1","",".212",".299",".325",".624",".279","","-0.2","0.3","","0.0","18899"
"Greg Allen","PIT","24","105","92","22","5","1","1","11","9","8","24","3","5","1","",".235",".319",".346",".665",".295","","-0.3","0.3","","0.0","16623"
"Emmanuel Rivera","KCR","6","27","24","6","1","0","1","3","3","2","6","0","0","0","",".252",".311",".417",".728",".314","","0.0","0.0","","0.0","19890"
"Matt Carpenter","TEX","29","126","106","21","5","0","4","14","13","16","38","2","1","0","",".202",".317",".355",".672",".298","","-0.3","-0.3","","0.0","8090"
"Romy Gonzalez","CHW","5","20","18","4","1","0","1","2","2","2","6","0","0","0","",".230",".299",".395",".695",".301","","-0.1","0.0","","0.0","21562"
"TJ Friedl","CIN","6","26","23","5","1","0","1","3","3","3","5","0","1","0","",".241",".331",".389",".720",".316","","-0.2","0.0","","0.0","19522"
"Oswald Peraza","NYY","3","13","12","3","1","0","0","2","1","1","3","0","0","0","",".248",".304",".383",".688",".299","","0.0","0.0","","0.0","sa3003305"
"Austin Romine","LAA","12","48","44","10","2","0","1","5","5","2","13","0","0","0","",".229",".272",".359",".631",".273","","-0.1","-0.1","","0.0","5491"
"Carlos Pérez","COL","5","18","16","4","1","0","1","2","2","1","3","0","0","0","",".239",".298",".425",".724",".310","","0.0","0.0","","0.0","10642"
"Taylor Trammell","SEA","6","26","23","5","1","0","1","3","3","3","8","0","1","0","",".205",".300",".356",".656",".290","","0.1","0.0","","0.0","19960"
"Nick Maton","PHI","8","33","28","6","1","0","1","3","3","3","9","0","0","0","",".215",".304",".351",".655",".290","","0.0","0.0","","0.0","21635"
"Michael Perez","PIT","11","42","37","8","2","0","1","4","4","4","12","0","0","0","",".202",".284",".346",".630",".277","","0.1","-0.1","","0.0","12977"
"Brian Goodwin","","42","182","161","36","8","1","5","20","20","17","49","1","2","1","",".227",".306",".384",".690",".301","","-2.1","-0.3","","0.0","12858"
"Jose Rojas","LAA","35","150","136","31","7","0","5","17","17","12","37","1","2","1","",".225",".288",".396",".684",".295","","-0.2","-0.2","","0.0","19331"
"Travis Jankowski","NYM","11","46","40","9","1","0","0","5","3","5","9","0","2","1","",".239",".330",".315",".644",".288","","-0.2","0.0","","0.0","13768"
"Donny Sands","PHI","3","12","11","2","0","0","0","1","1","1","3","0","0","0","",".230",".306",".383",".689",".299","","0.0","0.0","","0.0","sa875201"
"Jhonny Pereda","SFG","3","12","11","2","1","0","0","1","1","1","2","0","0","0","",".235",".320",".333",".652",".292","","0.0","0.0","","0.0","sa735866"
"Pedro Severino","MIL","18","72","64","15","3","0","2","8","8","6","18","1","0","0","",".233",".302",".382",".684",".298","","-0.1","-0.2","","0.0","14523"
"Juan Lagares","","16","70","65","16","4","0","2","7","8","4","17","1","1","0","",".247",".292",".386",".678",".292","","0.3","0.0","","0.0","5384"
"Jason Vosler","SFG","3","13","12","3","1","0","0","2","2","1","3","0","0","0","",".230",".311",".408",".719",".311","","0.0","0.0","","0.0","16686"
"Josh Palacios","WSN","6","26","23","6","1","0","1","3","3","2","7","0","1","0","",".241",".325",".392",".717",".314","","0.0","0.0","","0.0","19818"
"Kyle Stowers","BAL","3","13","11","3","1","0","1","2","2","1","4","0","0","0","",".233",".321",".425",".747",".323","","0.0","0.0","","0.0","sa1115829"
"Pablo Reyes","MIL","6","26","23","5","1","0","1","3","3","2","6","0","1","0","",".235",".304",".385",".689",".299","","-0.2","0.0","","0.0","16357"
"Rob Refsnyder","BOS","6","26","23","6","1","0","1","3","3","3","7","0","0","0","",".242",".328",".379",".707",".311","","0.0","0.0","","0.0","13770"
"José Godoy","MIN","5","18","16","4","1","0","0","2","2","1","4","0","0","0","",".230",".297",".351",".648",".285","","-0.1","0.0","","0.0","15808"
"Trevor Larnach","MIN","49","210","185","41","9","0","6","22","21","19","68","4","1","0","",".223",".306",".373",".679",".298","","-0.6","-0.2","","0.0","21501"
"Ryan McKenna","BAL","21","92","80","17","3","1","3","10","9","10","29","1","2","1","",".216",".305",".366",".671",".295","","0.0","-0.1","","0.0","19928"
"Eric Sogard","","16","70","63","15","3","0","1","7","7","5","12","1","1","0","",".242",".303",".351",".654",".286","","-0.5","-0.1","","0.0","7927"
"Luke Raley","TBR","12","52","46","10","2","0","2","6","6","4","16","1","1","0","",".222",".296",".393",".689",".299","","0.0","0.0","","0.0","19354"
"Gilberto Celestino","MIN","23","99","88","21","5","0","2","11","9","8","23","1","1","1","",".233",".301",".363",".665",".291","","-0.5","-0.1","","0.0","20233"
"Sam Huff","TEX","3","12","11","2","0","0","1","1","2","1","4","0","0","0","",".217",".274",".407",".681",".292","","0.0","0.0","","0.0","22209"
"Drew Ellis","ARI","9","40","34","7","2","0","1","4","4","4","12","1","0","0","",".207",".305",".361",".665",".294","","0.0","-0.1","","0.0","19873"
"Tim Beckham","MIN","5","20","18","4","1","0","1","2","2","1","5","0","0","0","",".232",".290",".389",".680",".294","","-0.1","0.0","","0.0","7949"
"José Peraza","NYY","8","33","30","7","1","0","1","4","3","2","5","0","0","0","",".245",".293",".365",".658",".287","","-0.4","0.0","","0.0","13593"
"Ryan O'Hearn","KCR","9","40","36","8","2","0","2","4","5","4","10","0","0","0","",".227",".300",".415",".715",".307","","0.0","0.0","","0.0","16442"
"Mark Vientos","NYM","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".229",".297",".435",".732",".313","","0.0","0.0","","0.0","sa3004720"
"Andrew Knapp","PIT","38","150","129","27","6","1","2","13","14","17","42","2","0","0","",".208",".309",".322",".631",".283","","-2.2","-0.1","","0.0","14942"
"Taylor Jones","HOU","3","13","11","3","1","0","0","2","2","1","3","0","0","0","",".232",".318",".398",".716",".312","","0.0","0.0","","0.0","19533"
"Joe Perez","HOU","6","26","24","6","1","0","1","3","3","2","7","0","0","0","",".239",".290",".392",".682",".294","","-0.1","0.0","","0.0","22254"
"Jacob Nottingham","BAL","3","12","11","2","0","0","0","1","1","1","4","0","0","0","",".199",".273",".366",".639",".279","","0.0","0.0","","0.0","16448"
"Garrett Hampson","COL","47","204","184","45","8","2","5","25","18","15","49","1","8","2","",".243",".303",".388",".691",".299","","-0.7","0.7","","0.0","19262"
"Adam Haseley","CHW","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".240",".306",".364",".669",".293","","0.0","0.0","","0.0","19878"
"Yolbert Sanchez","CHW","2","7","6","2","0","0","0","1","1","0","1","0","0","0","",".261",".321",".372",".693",".303","","0.0","0.0","","0.0","sa3011471"
"Joe McCarthy","TEX","5","20","17","4","1","0","1","2","2","2","5","0","0","0","",".224",".311",".380",".691",".303","","-0.1","0.0","","0.0","18399"
"Travis Demeritte","ATL","3","13","11","3","1","0","1","2","2","1","4","0","0","0","",".225",".308",".429",".736",".317","","0.0","0.0","","0.0","15958"
"Otto Lopez","TOR","2","7","6","2","0","0","0","1","1","0","1","0","0","0","",".262",".324",".376",".700",".306","","0.0","0.0","","0.0","19608"
"Ronald Torreyes","PHI","5","20","18","4","1","0","0","2","2","1","3","0","0","0","",".245",".295",".358",".654",".284","","0.1","0.0","","0.0","11400"
"Luke Williams","SFG","5","20","18","4","1","0","0","2","2","2","5","0","1","0","",".226",".295",".337",".632",".279","","0.1","0.0","","0.0","19931"
"Zach McKinstry","LAD","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".237",".308",".404",".712",".308","","0.0","0.0","","0.0","19392"
"Stuart Fairchild","ARI","3","13","12","3","1","0","0","1","1","1","4","0","0","0","",".223",".307",".375",".683",".298","","-0.1","0.0","","0.0","20321"
"Matt Joyce","PHI","19","84","71","16","3","0","2","10","9","11","20","1","1","0","",".224",".329",".371",".700",".308","","-0.9","-0.2","","0.0","3353"
"Tyler White","MIL","2","7","5","1","0","0","0","1","1","1","2","0","0","0","",".233",".347",".403",".750",".330","","0.0","0.0","","0.0","15564"
"Meibrys Viloria","TEX","3","12","10","2","0","0","0","1","1","1","4","0","0","0","",".203",".300",".314",".614",".276","","0.0","0.0","","0.0","17109"
"Cody Thomas","OAK","3","13","12","2","1","0","0","1","1","1","4","0","0","0","",".210",".286",".395",".681",".294","","0.0","0.0","","0.0","sa738459"
"Danny Santana","","8","35","32","7","1","0","1","4","4","2","10","0","1","0","",".226",".286",".407",".693",".297","","0.0","0.0","","0.0","10322"
"Colin Moran","CIN","65","281","252","63","11","0","11","30","41","24","71","2","1","1","",".250",".318",".422",".740",".319","","-0.6","-1.1","","0.0","16909"
"Nomar Mazara","SDP","3","13","12","3","1","0","0","1","2","1","3","0","0","0","",".236",".304",".403",".707",".306","","-0.1","0.0","","0.0","14553"
"P.J. Higgins","CHC","2","6","5","1","0","0","0","1","1","1","2","0","0","0","",".210",".296",".323",".619",".277","","0.0","0.0","","0.0","18433"
"Jake Cave","MIN","3","13","12","3","1","0","0","1","1","1","4","0","0","0","",".226",".297",".376",".672",".293","","0.0","0.0","","0.0","14477"
"Tucupita Marcano","PIT","2","7","6","1","0","0","0","1","1","1","1","0","0","0","",".238",".323",".338",".661",".295","","0.0","0.0","","0.0","22871"
"Drew Waters","ATL","3","13","12","3","1","0","0","1","1","1","4","0","0","0","",".225",".296",".364",".660",".289","","0.0","0.0","","0.0","sa3004378"
"Dalton Kelly","OAK","5","20","17","4","1","0","1","2","2","2","6","0","0","0","",".210",".310",".363",".673",".297","","0.0","0.0","","0.0","sa876363"
"Ender Inciarte","NYY","3","13","12","3","0","0","0","1","1","1","3","0","0","0","",".226",".298",".332",".630",".279","","0.0","0.0","","0.0","4922"
"Alfonso Rivas","CHC","14","59","52","13","2","0","1","7","5","6","15","1","0","0","",".244",".328",".357",".685",".304","","0.2","-0.1","","0.0","21560"
"Franchy Cordero","BOS","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".237",".309",".410",".720",".311","","0.0","0.0","","0.0","14567"
"Matt Reynolds","NYM","3","13","11","2","1","0","0","1","1","1","4","0","0","0","",".213",".302",".320",".622",".278","","-0.1","0.0","","0.0","13788"
"Chris Owings","BAL","32","138","124","25","5","1","4","14","13","11","45","1","3","1","",".201",".272",".346",".618",".269","","0.5","-0.1","","0.0","10030"
"Jaylin Davis","SFG","3","13","12","3","1","0","0","2","2","1","4","0","0","0","",".222",".300",".395",".696",".301","","0.0","0.0","","0.0","19552"
"Evan White","SEA","5","20","18","4","1","0","1","2","2","2","6","0","0","0","",".213",".281",".381",".662",".287","","0.1","0.0","","0.0","20078"
"Alex Jackson","MIL","3","12","11","2","0","0","1","1","1","1","5","0","0","0","",".186",".266",".373",".640",".276","","0.0","0.0","","0.0","17276"
"Yusniel Diaz","BAL","32","138","121","26","6","1","4","15","14","13","40","1","1","1","",".216",".298",".374",".672",".292","","0.0","-0.1","","0.0","sa912848"
"Zach Reks","TEX","3","13","11","2","0","0","0","1","1","1","4","0","0","0","",".213",".305",".361",".666",".294","","0.0","0.0","","0.0","19667"
"Christian Lopes","OAK","3","13","11","2","1","0","0","1","1","1","4","0","0","0","",".196",".299",".322",".621",".279","","0.0","0.0","","0.0","sa601044"
