"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Ty France","SEA","134","578","510","141","28","2","20","75","75","43","103","20","1","1","",".276",".353",".453",".806",".348","","1.6","-1.2","","2.9","17982"
"Josh Donaldson","NYY","123","532","451","109","21","0","25","73","73","71","125","5","1","1","",".241",".348",".458",".806",".347","","-0.8","-1.4","","2.8","5038"
"Cody Bellinger","LAD","112","486","424","104","20","3","24","67","74","55","113","2","11","3","",".244",".333",".474",".807",".340","","0.6","0.6","","2.8","15998"
"Anthony Rizzo","NYY","128","552","469","121","20","2","26","74","78","57","88","21","5","2","",".258",".362",".472",".834",".358","","1.6","-1.7","","2.8","3473"
"Tommy Edman","STL","128","552","506","139","28","4","13","71","55","34","84","6","21","5","",".274",".325",".419",".745",".321","","3.1","2.6","","2.8","19470"
"Willy Adames","MIL","133","574","508","127","27","2","22","75","68","58","159","2","6","4","",".250",".327",".440",".767",".330","","-0.7","-0.1","","2.8","15986"
"DJ LeMahieu","NYY","128","552","493","140","23","2","13","75","56","49","77","4","4","2","",".283",".350",".414",".764",".333","","2.4","-0.4","","2.8","9874"
"Oneil Cruz","PIT","106","460","411","112","24","4","19","61","64","39","109","4","14","5","",".272",".338",".488",".826",".352","","0.0","0.2","","2.8","21711"
"Max Stassi","LAA","95","376","332","74","13","1","15","44","45","34","115","6","0","0","",".224",".305",".404",".709",".308","","1.7","-0.9","","2.8","10059"
"Max Kepler","MIN","126","545","473","111","25","3","24","73","69","59","101","7","8","3","",".235",".327",".450",".777",".333","","5.6","0.5","","2.7","12144"
"Giancarlo Stanton","NYY","128","552","486","127","21","0","34","74","97","57","156","4","1","0","",".262",".343",".516",".859",".363","","-0.1","-1.3","","2.7","4949"
"Luis Urías","MIL","121","522","448","112","23","2","18","65","61","58","104","9","5","2","",".251",".345",".428",".773",".335","","2.5","-0.6","","2.7","16622"
"Ramón Laureano","OAK","116","502","444","109","24","2","20","63","61","41","126","11","12","4","",".246",".323",".445",".768",".331","","4.1","0.8","","2.6","17128"
"Jacob Stallings","MIA","104","411","366","87","17","1","9","39","43","37","91","3","0","0","",".238",".313",".361",".674",".296","","5.9","-0.8","","2.6","13723"
"Spencer Torkelson","DET","124","536","457","112","24","1","27","71","75","62","125","8","4","2","",".246",".344",".484",".827",".354","","1.8","-0.5","","2.6","27465"
"Jeff McNeil","NYM","125","539","481","135","27","2","13","68","56","39","70","12","5","2","",".281",".349",".427",".776",".337","","-1.2","-0.6","","2.6","15362"
"Rhys Hoskins","PHI","133","574","482","115","29","1","30","80","88","80","142","8","3","2","",".238",".353",".493",".846",".361","","0.0","-1.1","","2.6","16472"
"Brandon Crawford","SFG","127","549","489","124","25","2","18","64","68","50","110","5","7","3","",".253",".327",".423",".750",".320","","1.0","-0.9","","2.6","5343"
"Javier Báez","DET","119","516","480","122","24","2","23","65","72","25","151","7","13","5","",".255",".298",".461",".759",".321","","-0.5","1.0","","2.5","12979"
"Jeimer Candelario","DET","138","595","523","129","32","3","17","69","66","61","132","6","1","1","",".247",".330",".419",".749",".325","","-0.6","-0.6","","2.5","13621"
"Paul DeJong","STL","122","526","465","106","22","1","21","63","66","47","132","9","6","2","",".227",".309",".417",".726",".314","","3.4","-0.2","","2.5","18015"
"Aaron Hicks","NYY","128","552","462","108","19","2","19","71","66","80","122","4","6","3","",".234",".350",".410",".760",".332","","-3.2","0.2","","2.5","5297"
"Bobby Witt Jr.","KCR","131","566","512","130","28","4","20","70","64","40","133","6","20","7","",".254",".313",".439",".752",".322","","1.8","0.7","","2.5","25764"
"Jared Walsh","LAA","134","581","520","136","28","2","31","77","96","50","151","6","2","1","",".262",".332",".499",".830",".350","","0.4","-1.1","","2.5","18607"
"Jesse Winker","SEA","131","565","483","127","26","1","20","73","67","68","96","9","2","1","",".262",".361",".443",".804",".349","","-2.4","-2.0","","2.5","13590"
"Adley Rutschman","BAL","97","387","330","82","17","1","13","46","44","47","74","4","3","1","",".249",".348",".423",".771",".336","","0.0","-0.3","","2.5","sa3011643"
"Myles Straw","CLE","125","542","476","127","22","3","4","69","38","58","103","2","27","6","",".267",".347",".350",".697",".311","","3.5","3.2","","2.5","17620"
